id,	description
12281939139,	DISCLAIMER: I am using Strava because I did not bring my watch or any running stuff with me to Chicago!!!!! woke up this morning in Sarah’s guest bed after some wine & reminiscing last night with her & Rachel. Literally the best sleep I can remember. May just buy the same mattress. I opened my eyes really early & I think the first thing I saw was the sky out Sarah’s windows (grey but peaceful) & the first thing I thought about was how sweaty I was. I stayed in bed & went back to sleep until around 9:30 when I went down for coffee & decided to go on a run. I started by heading to the 10 mile path & I was listening to sweet Mac miller (senior skip day duh) & tan along there. THE EYES UP THING I WROTE IN CHALK THE SUMMER BEFORE SENIOR YEAR IS STILL THERE. LIKE WHAT. That made me really nostalgic. But not in the way that I wanna go back but just in the way that everything in life is really special. I turned around at the 6miler mark then headed back towards NCC. I got to the parking lot (short cut way) & headed back towards prairie to see it & my old house. When I was running by my old house I saw Dennis (old neighbor who had a crush on my mom) out mowing the lawn. I waved to him & he acknowledged but I don’t think he recognized me because I haven’t seen him since middle school aside from once in einsteins bagels where he paid for my food (probably to get to my mom HAHA). I wish I would have stopped & talked to him but I had places to be. Ended the run going through dunrobin. Very tired at the end but so glad I did it. Shoutout Sarah for the shorts. Now I am going to go do abs(?), use the bathroom, shower, & get ready to go ape shit on some wine this weekend. Love you guys dearly!
12348413714,	Was aiming for 7:50 scared of going too slow so I went too fast. It looked like it was gonna be 8 min miles at first
12523551067,	Using strava to make sure I get my mileage. For some reason (probs bc I don’t have a brain) I thought the group run was at 6am??????? Literally never has been & I’ve been every week since May????? Like what was I thinking????? So I got up superrrrr early to do the extra 7 miles to get to 16 & I got back to my house to get ready to run to comeback when I realized it was 5:50 & the run was at 7. I went up. brushed out my rat tail to save me some trouble later. and headed back out along the same route to get mileage until it was time to head to comeback. The run was actually incredible but I am just kinda left dumbfounded with how ridiculously stupid I can be. Alas. I kinda liked it & may do the same thing next long run. Feels good to be done so early & get to run my own pace & listen to music.   Goal paces: 8:55 for mile 1 7:55 for 2-5 8:55 5-8 7:55 8-12 8:55 12-16  I need to do better paying attention to that & how it’s supposed to feel. I felt amazing up until mile 14 when I turned to head home after meeting up w run cronies. Then my calves started to feel it & I felt heavy & slow the whole way home. That’s why I need to pace better!!!! I thought I was gonna die in the shower because my calves were so tight & tired. Damn near pulled a Julia O’Dekirk & sat down. Miss you Julia. Love that name.  Now I am sitting on the couch gonna watch a bunch of movies until I take a nap. elevating my feet. I watched Mr & Mrs smith last night. Soooooo good. Different than I expected. ***SPOILER ALERT*** I was starting to get really frustrated with Angelina for trying to kill Brad when they obvi could just be together. Worked out in the end though. Felt great to not wake up hungover today. Love you all dearly!  Pic 1: middle of the bridge between TN & AK Pic 2: the snacks I prepared for my run fuel but did not eat (gonna get GUs for next time) Pic 3: couching it. proof of my ability to finish a movie
12828551741,	Ran to the polls to vote!
12914189478,	Dropped my phone & cracked the screen.  Coffee & two chews for bfast 1 strawberry banana gu at mile 9  So fun. knees hurt at mile 9 but felt good by 11
12928616886,	1mi WU/CD 4 mi tempo in the middle   I was very excited to do a tempo today. Coffee with caramel creamer & oat milk for bfast. Purple shampoo day
12943641240,	6 hills  Coffee & water before Legs were tight so I swung my legs Slept 10:20-5:20  Purple shampoo day
12951281601,	Kinda goofed my run schedule up this week. Recovery run today. Wore my mittens & listened to kings of Leon. Very happy to be awake today
12958185597,	Rehearsing my pre-marathon day routine 30 mins chill. 4 strides in the middle (is this something I should do??). & a minute hard at the end. I think I’ll do the minute hard in my morning shake out day of. Please drop any day of/day before tips if anyone has anything/if I need to be doing something different. Right calf tight.  Slept 8:30-5:30 I had the strangest dreams last night. Someone stole my favorite sweatshirt. my brother Soern was there. & there was a group ab workout at some point. Hmmmmm  Purple shampoo day
12972260704,	Trying to do my long run for the week. hip Conked out. Walking home. Sad. Tried new gu. loved it. Seems like this is connected to my calf hurting. Def something I can push through on race day but not worth it today. Walking home. Gonna take forever. SOTD: sticky
13148444351,	First run back!!!! Wanted to do a 30 but it hurt. Felt good for the first few mins. Stretched a lot before
13223026882,	think it’s safe to say we’re back. Stomach hurt more than hip. Did the full 30. stopped at half way. Harder than the 20 miler.  SOTD: grillz AOTD: heart  Purple shampoo day
13231356628,	Feels incredible to have morning runs again. My hip hurt more than my chest & stomach but I think that’s okay because it was minimal & felt okay to push through. Woke up early enough to stretch before.  SOTD: Maneater Hall & Oates AOTD: Heart (x2). Future
13238200846,	Took an hour to get from my bed to the door this morning. First run of the year. right hammy got a little twisty tight so I turned around. So glad to be back.   SOTD: A Dream with a Baseball Player. Silver Springs. I’m ready AOTD: Heart x3. Faye Webster
13254358768,	Chill run. felt tight. New coffee creamer!  SOTD: silver springs (x2). In a good way AOTD: MIA. Drake. Jim Croce
13264653882,	6 miles with THE Rob Katz. Out of breath & freezing cold. Coffee with the new creamer before.
13280633465,	snowing on the bridge!!! So pretty but so so so cold. Hair froze & nose was leaking the whole time. Worth it. Thought about T shirt ideas for me & my brothers 10k.   Coffee & stretching before. Felt great no hip pain  SOTD: say it ft Tove Lo. you & me flume remix AOTD: flume. Fleetwood Mac. Future
13289565754,	dirty 30. Saving time this morning to stretch at the gym. So sweaty.  SOTD: maneater hall & oats. silver springs. silver springs. silver springs AOTD: Fleetwood Mac. Led Zeppelin
